Pk,Tm,Player,College,MP.1,PTS.1,TRB.1,AST.1
1,PHI,Markelle Fultz,Washington,35.7,23.2,5.7,5.9
2,LAL,Lonzo Ball,UCLA,35.1,14.6,6.0,7.6
3,BOS,Jayson Tatum,Duke,33.3,16.8,7.3,2.1
4,PHO,Josh Jackson,Kansas,30.8,16.3,7.4,3.0
5,SAC,De'Aaron Fox,Kentucky,29.6,16.7,4.0,4.6
6,ORL,Jonathan Isaac,Florida State,26.2,12.0,7.8,1.2
7,MIN,Lauri Markkanen,Arizona,30.8,15.6,7.2,0.9
8,NYK,Frank Ntilikina,,18.3,5.2,2.1,1.4
9,DAL,Dennis Smith Jr.,NC State,34.8,18.1,4.6,6.2
10,SAC,Zach Collins,Gonzaga,17.3,10.0,5.9,0.4
11,CHO,Malik Monk,Kentucky,32.1,19.8,2.5,2.3
12,DET,Luke Kennard,Duke,35.5,19.5,5.1,2.5
13,DEN,Donovan Mitchell,Louisville,32.3,15.6,4.9,2.7
14,MIA,Bam Adebayo,Kentucky,30.1,13.0,8.0,0.8
15,POR,Justin Jackson,UNC,32.0,18.3,4.7,2.8
