Pk,Tm,Player,College,MP.1,PTS.1,TRB.1,AST.1
1,PHI,Ben Simmons,LSU,34.9,19.2,11.8,4.8
2,LAL,Brandon Ingram,Duke,34.6,17.3,6.8,2.0
3,BOS,Jaylen Brown,California,27.6,14.6,5.4,2.0
4,PHO,Dragan Bender,,10.6,2.1,1.4,0.6
5,MIN,Kris Dunn,Providence,31.5,12.8,5.1,5.8
6,NOP,Buddy Hield,Oklahoma,31.7,17.4,5.0,1.9
7,DEN,Jamal Murray,Kentucky,35.2,20.0,5.2,2.2
8,SAC,Marquese Chriss,Washington,24.9,13.7,5.4,0.8
9,TOR,Jakob Poeltl,Utah,26.9,13.3,8.0,1.3
10,MIL,Thon Maker,,25.0,22.2,13.1,1.9
11,ORL,Domantas Sabonis,Gonzaga,26.6,13.5,9.4,1.3
12,UTA,Taurean Prince,Baylor,30.6,15.9,6.1,2.3
13,PHO,Georgios Papagiannis,,10.0,5.6,2.3,0.5
14,CHI,Denzel Valentine,Michigan State,33.0,19.2,7.5,7.8
15,DEN,Juan Hernangómez,,23.7,9.7,5.7,0.6
