Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,MIN,Karl-Anthony Towns,Kentucky,C,33.9,26.5,10.8,4.4
2,LAL,D'Angelo Russell,Ohio State,G,32.3,23.1,3.9,6.3
3,PHI,Jahlil Okafor,Duke,C,15.6,8.1,4.2,1.2
4,NYK,Kristaps Porziņģis,,F,30.9,20.1,8.9,1.6
5,ORL,Mario Hezonja,,F,16.4,4.8,3.5,0.9
6,SAC,Willie Cauley-Stein,Kentucky,F,20.3,7.2,1.3,0.9
7,DEN,Emmanuel Mudiay,,G,15.7,7.3,2.3,2.1
8,DET,Stanley Johnson,Arizona,F,6.0,2.4,1.5,0.8
9,CHO,Frank Kaminsky,Wisconsin,C,19.9,9.7,4.5,1.9
10,MIA,Justise Winslow,Duke,F,32.0,11.3,6.6,4.0
11,IND,Myles Turner,Texas,C,29.5,12.1,6.6,1.2
12,UTA,Trey Lyles,Kentucky,F,20.2,6.4,5.7,1.1
13,PHO,Devin Booker,Kentucky,G,35.9,26.6,4.2,6.5
14,OKC,Cameron Payne,Murray State,G,22.9,10.9,3.9,3.0
1,CLE,Andrew Wiggins,Kansas,F,34.8,18.1,4.8,2.5
2,MIL,Jabari Parker,Duke,F,26.9,14.5,6.6,2.4
3,PHI,Joel Embiid,Kansas,C,33.7,27.5,13.6,3.7
4,ORL,Aaron Gordon,Arizona,F,33.8,16.0,7.4,3.7
5,UTA,Dante Exum,,G,15.8,6.9,1.6,2.6
6,BOS,Marcus Smart,Oklahoma State,G,27.5,8.9,2.9,4.0
7,LAL,Julius Randle,Kentucky,F,30.6,21.4,8.7,3.1
8,SAC,Nik Stauskas,Michigan,G,14.9,5.9,1.9,1.2
9,CHH,Noah Vonleh,Indiana,F,25.3,8.4,7.8,1.9
10,PHI,Elfrid Payton,Louisiana,G,29.8,10.6,5.2,7.6
11,DEN,Doug McDermott,Creighton,F,17.4,7.3,1.4,0.9
12,ORL,Dario Saric,,F,25.0,10.6,5.6,1.6
13,MIN,Zach LaVine,UCLA,G,34.5,23.7,4.7,4.5
14,PHO,T.J. Warren,NC State,F,31.6,18.0,4.0,1.5
1,CLE,Anthony Bennett,UNLV,F,11.5,5.0,3.4,0.5
2,ORL,Victor Oladipo,Indiana,G,34.0,23.1,5.2,4.3
3,WAS,Otto Porter,Georgetown,F,31.6,14.7,6.4,2.0
4,CHA,Cody Zeller,Indiana,C,19.0,7.1,5.4,0.9
5,PHO,Alex Len,Maryland,C,20.2,8.5,7.5,1.2
6,NOH,Nerlens Noel,Kentucky,C,13.7,4.9,4.2,0.6
7,SAC,Ben McLemore,Kansas,G,19.5,7.5,2.5,0.9
8,DET,Kentavious Caldwell-Pope,Georgia,G,33.2,13.4,5.2,2.2
9,MIN,Trey Burke,Michigan,G,21.8,12.8,2.0,4.7
10,POR,CJ McCollum,Lehigh,G,36.1,21.4,4.0,3.4
11,PHI,Michael Carter-Williams,Syracuse,G,16.1,4.6,2.7,2.2
12,OKC,Steven Adams,Pitt,C,32.7,13.9,9.0,1.2
13,DAL,Kelly Olynyk,Gonzaga,C,23.4,11.5,5.7,2.7
14,UTA,Shabazz Muhammad,UCLA,G,9.7,5.0,1.8,0.3
1,NOH,Anthony Davis,Kentucky,C,36.1,28.0,11.8,2.1
2,CHA,Michael Kidd-Gilchrist,Kentucky,F,29.0,9.2,7.0,1.4
3,WAS,Bradley Beal,Florida,G,34.9,23.1,3.1,3.5
4,CLE,Dion Waiters,Syracuse,G,30.1,15.8,3.3,4.3
5,SAC,Thomas Robinson,Kansas,F,11.7,5.0,4.6,0.6
6,POR,Damian Lillard,Weber,G,35.9,27.0,4.9,5.9
7,GSW,Harrison Barnes,UNC,F,35.5,19.2,5.0,1.5
8,TOR,Terrence Ross,Washington,G,25.1,11.0,2.6,1.1
9,DET,Andre Drummond,Connecticut,C,29.7,13.6,13.8,1.1
10,NOH,Austin Rivers,Duke,G,27.8,12.0,2.2,2.8
11,POR,Meyers Leonard,Illinois,C,16.5,5.4,3.2,1.0
12,HOU,Jeremy Lamb,Connecticut,G,18.4,9.7,4.3,1.2
13,PHO,Kendall Marshall,UNC,G,13.3,3.7,0.9,2.4
14,MIL,John Henson,UNC,C,19.4,6.8,5.1,1.0









