Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,PHI,Ben Simmons,LSU,G,35.4,16.4,7.8,8.0
2,LAL,Brandon Ingram,Duke,F,33.9,23.8,6.1,4.2
3,BOS,Jaylen Brown,California,G,33.9,20.3,6.4,2.1
4,PHO,Dragan Bender,,F,17.4,6.4,4.4,1.7
5,MIN,Kris Dunn,Providence,G,24.9,7.3,3.6,3.4
6,NOP,Buddy Hield,Oklahoma,G,30.8,19.2,4.6,3.0
7,DEN,Jamal Murray,Kentucky,G,32.3,18.5,4.0,4.8
8,SAC,Marquese Chriss,Washington,F,20.3,9.3,6.2,1.9
9,TOR,Jakob Poeltl,Utah,C,17.7,5.6,5.7,1.8
10,MIL,Thon Maker,,F,12.9,4.7,2.8,0.7
11,ORL,Domantas Sabonis,Gonzaga,C,34.8,18.5,12.4,5.0
12,UTA,Taurean Prince,Baylor,F,29.0,12.1,6.0,1.8
13,PHO,Georgios Papagiannis,,C,7.4,2.1,2.3,0.6
14,CHI,Denzel Valentine,Michigan State,G,16.7,6.5,3.2,1.7
1,MIN,Karl-Anthony Towns,Kentucky,C,33.1,24.4,12.4,3.4
2,LAL,D'Angelo Russell,Ohio State,G,30.2,21.1,3.9,7.0
3,PHI,Jahlil Okafor,Duke,C,15.8,8.2,4.7,0.7
4,NYK,Kristaps Porziņģis,,F,31.8,20.4,9.5,1.8
5,ORL,Mario Hezonja,,F,20.8,8.8,4.1,1.5
6,SAC,Willie Cauley-Stein,Kentucky,F,27.3,11.9,8.4,2.4
7,DEN,Emmanuel Mudiay,,G,27.2,14.8,3.3,3.9
8,DET,Stanley Johnson,Arizona,F,18.3,6.9,3.3,1.3
9,CHO,Frank Kaminsky,Wisconsin,C,16.1,8.6,3.5,1.3
10,MIA,Justise Winslow,Duke,F,29.7,12.6,5.4,4.3
11,IND,Myles Turner,Texas,C,28.6,13.3,7.2,1.6
12,UTA,Trey Lyles,Kentucky,F,17.5,8.5,3.8,1.4
13,PHO,Devin Booker,Kentucky,G,35.0,26.6,4.1,6.8
14,OKC,Cameron Payne,Murray State,G,17.8,6.3,1.8,2.7
1,CLE,Andrew Wiggins,Kansas,F,36.3,17.7,4.4,2.0
2,MIL,Jabari Parker,Duke,F,24.0,12.6,4.9,1.9
3,PHI,Joel Embiid,Kansas,C,29.5,23.0,11.6,3.0
4,ORL,Aaron Gordon,Arizona,F,32.9,17.6,7.9,2.3
5,UTA,Dante Exum,,G,15.8,6.9,1.6,2.6
6,BOS,Marcus Smart,Oklahoma State,G,29.9,10.2,3.5,4.8
7,LAL,Julius Randle,Kentucky,F,26.7,16.1,8.0,2.6
8,SAC,Nik Stauskas,Michigan,G,12.8,4.4,1.6,1.0
9,CHH,Noah Vonleh,Indiana,F,16.2,4.9,5.8,0.6
10,PHI,Elfrid Payton,Louisiana,G,28.7,12.7,4.3,6.2
11,DEN,Doug McDermott,Creighton,F,21.8,7.8,2.5,1.0
12,ORL,Dario Saric,,F,24.7,10.7,6.2,1.9
13,MIN,Zach LaVine,UCLA,G,27.3,16.7,3.9,3.0
14,PHO,T.J. Warren,NC State,F,33.0,19.6,5.1,1.3
1,CLE,Anthony Bennett,UNLV,F,11.5,5.0,3.4,0.5
2,ORL,Victor Oladipo,Indiana,G,33.2,15.9,4.3,2.6
3,WAS,Otto Porter,Georgetown,F,32.6,13.4,6.4,1.5
4,CHA,Cody Zeller,Indiana,C,27.8,10.3,6.5,1.6
5,PHO,Alex Len,Maryland,C,20.3,8.0,6.6,0.6
6,NOH,Nerlens Noel,Kentucky,C,15.7,4.4,5.6,0.7
7,SAC,Ben McLemore,Kansas,G,19.3,8.1,2.1,0.8
8,DET,Kentavious Caldwell-Pope,Georgia,G,33.3,13.8,3.3,2.5
9,MIN,Trey Burke,Michigan,G,12.3,5.0,0.8,1.8
10,POR,CJ McCollum,Lehigh,G,35.0,23.0,3.6,3.6
11,PHI,Michael Carter-Williams,Syracuse,G,18.8,6.6,3.4,2.5
12,OKC,Steven Adams,Pitt,C,29.9,11.3,7.7,1.1
13,DAL,Kelly Olynyk,Gonzaga,C,20.5,9.0,4.8,2.0
14,UTA,Shabazz Muhammad,UCLA,G,19.4,9.9,2.8,0.4





















