Pk,Tm,Player,College,MP.1,PTS.1,TRB.1,AST.1
1,MIN,Anthony Edwards,Georgia,33.0,19.1,5.2,2.8
2,GSW,James Wiseman,Memphis,23.0,19.7,10.7,0.3
3,CHO,LaMelo Ball,,31.3,17.0,7.6,6.8
4,CHI,Patrick Williams,Florida State,22.5,9.2,4.0,1.0
5,CLE,Isaac Okoro,Auburn,31.5,12.9,4.4,2.0
6,ATL,Onyeka Okongwu,USC,30.6,16.2,8.6,1.1
7,DET,Killian Hayes,,26.8,12.8,2.3,6.2
8,NYK,Obi Toppin,Dayton,31.6,20.0,7.5,2.2
9,WAS,Deni Avdija,,14.3,4.0,2.6,1.2
10,PHO,Jalen Smith,Maryland,31.3,15.5,10.5,0.8
11,SAS,Devin Vassell,Florida State,28.8,12.7,5.1,1.6
12,SAC,Tyrese Haliburton,Iowa State,36.7,15.2,5.9,6.5
13,NOP,Kira Lewis Jr.,Alabama,37.6,18.5,4.8,5.2
14,BOS,Aaron Nesmith,Vanderbilt,35.7,23.0,4.9,0.9
15,ORL,Cole Anthony,UNC,34.9,18.5,5.7,4.0
