Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,.604,.333,.683,33.2,27.0,7.2,3.7,10.6,.189,4.6,4.5
2,2,MEM,Ja Morant,Murray State,2,130,4127,2397,511,953,.463,.317,.750,32.6,19.1,4.0,7.4,7.0,.081,-0.2,1.8
3,3,NYK,RJ Barrett,Duke,2,128,4215,2067,693,360,.425,.370,.683,34.9,17.6,5.8,3.0,3.6,.041,-2.7,-0.7
4,4,LAL,De'Andre Hunter,Virginia,2,86,2696,1122,396,156,.430,.348,.799,29.5,15.0,4.8,1.9,1.8,.032,-3.3,-0.9
5,5,CLE,Darius Garland,Vanderbilt,2,113,3614,1669,240,558,.428,.374,.858,33.1,17.4,2.4,6.1,-0.1,-.001,-3.6,-1.5
6,6,PHO,Jarrett Culver,Texas Tech,2,97,2005,760,316,134,.406,.288,.503,14.7,5.3,3.1,0.7,-0.2,-.005,-4.6,-1.3
7,7,CHI,Coby White,UNC,2,134,3830,1900,514,503,.406,.357,.849,31.2,15.1,4.1,4.8,3.3,.041,-2.7,-0.7
8,8,ATL,Jaxson Hayes,Texas,2,124,2044,921,516,91,.647,.389,.697,16.1,7.5,4.3,0.6,7.4,.174,0.1,1.1
9,9,WAS,Rui Hachimura,Gonzaga,2,105,3241,1438,606,169,.473,.313,.797,31.5,13.8,5.5,1.4,3.9,.058,-3.3,-1.1
10,10,ATL,Cam Reddish,Duke,2,84,2301,902,320,122,.378,.309,.808,28.8,11.2,4.0,1.3,0.0,.001,-4.0,-1.2
11,11,MIN,Cameron Johnson,UNC,2,117,2692,1077,386,155,.427,.367,.828,24.0,9.6,3.3,1.4,5.2,.093,-0.2,1.2
12,12,CHO,P.J. Washington,Kentucky,2,122,3713,1534,734,284,.447,.381,.698,30.5,12.9,6.5,2.5,4.7,.060,-1.4,0.6
13,13,MIA,Tyler Herro,Kentucky,2,109,3143,1558,492,305,.434,.375,.834,30.3,15.1,5.0,3.4,3.2,.050,-1.6,0.3
14,14,BOS,Romeo Langford,Indiana,2,50,653,135,76,26,.353,.222,.730,15.7,3.1,1.9,0.7,0.2,.016,-5.0,-0.5
15,15,DET,Sekou Doumbouya,,2,94,1623,528,261,66,.384,.254,.691,17.3,5.6,2.8,0.7,-0.5,-.016,-6.9,-2.0
16,16,ORL,Chuma Okeke,Auburn,1,45,1133,349,181,101,.417,.348,.750,25.2,7.8,4.0,2.2,1.3,.056,-1.4,0.2
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,2,93,1598,775,228,191,.401,.347,.709,17.2,8.3,2.5,2.1,0.5,.015,-2.7,-0.3
18,18,IND,Goga Bitadze,,2,99,1032,403,256,60,.445,.231,.734,10.4,4.1,2.6,0.6,2.2,.101,-1.7,0.1
