Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
19,19,SAS,Luka Šamanić,,2,36,356,138,78,21,.430,.294,.576,9.9,3.8,2.2,0.6,0.1,.015,-5.0,-0.3
20,20,BOS,Matisse Thybulle,Washington,2,130,2585,560,231,142,.421,.330,.559,19.9,4.3,1.8,1.1,5.1,.094,0.9,1.9
21,21,OKC,Brandon Clarke,Gonzaga,2,117,2715,1310,673,176,.567,.305,.724,23.2,11.2,5.8,1.5,9.1,.162,2.1,2.8
22,22,BOS,Grant Williams,Tennessee,2,132,2181,531,356,132,.426,.320,.657,16.5,4.0,2.7,1.0,2.7,.058,-3.4,-0.8
23,23,UTA,Darius Bazley,,2,116,2844,1096,642,140,.395,.309,.700,24.5,9.4,5.5,1.2,0.0,.001,-3.3,-0.9
24,24,PHI,Ty Jerome,Virginia,2,64,1116,455,137,164,.415,.390,.760,17.4,7.1,2.1,2.6,1.3,.055,-1.4,0.2
25,25,POR,Nassir Little,UNC,2,96,1213,392,236,45,.450,.302,.719,12.6,4.1,2.5,0.5,1.7,.066,-3.3,-0.4
26,26,CLE,Dylan Windler,Belmont,1,31,513,161,107,33,.438,.338,.778,16.5,5.2,3.5,1.1,0.5,.045,-1.7,0.0
27,27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,.388,.314,.840,6.7,2.7,1.4,0.4,0.4,.054,-3.3,-0.1
28,28,GSW,Jordan Poole,Michigan,2,108,2262,1115,210,233,.381,.316,.840,20.9,10.3,1.9,2.2,0.7,.015,-4.0,-1.1
29,29,SAS,Keldon Johnson,Kentucky,2,86,2269,1035,469,136,.492,.360,.750,26.4,12.0,5.5,1.6,4.3,.092,-1.5,0.3
30,30,MIL,Kevin Porter Jr.,USC,2,76,1997,929,261,273,.434,.323,.728,26.3,12.2,3.4,3.6,0.3,.007,-3.8,-0.9
31,31,BRK,Nicolas Claxton,Georgia,2,47,781,278,210,44,.606,.167,.494,16.6,5.9,4.5,0.9,2.4,.145,0.1,0.4
32,32,PHO,KZ Okpala,Stanford,2,42,473,99,73,20,.386,.235,.529,11.3,2.4,1.7,0.5,0.2,.021,-6.7,-0.6
33,33,PHI,Carsen Edwards,Purdue,2,68,627,244,73,38,.372,.302,.750,9.2,3.6,1.1,0.6,0.4,.030,-4.7,-0.4
34,34,PHI,Bruno Fernando,Maryland,2,89,939,291,276,59,.498,.128,.603,10.6,3.3,3.1,0.7,0.7,.037,-4.8,-0.7
35,35,ATL,Didi Louzada,,1,3,56,8,3,3,.231,.250,,18.7,2.7,1.0,1.0,-0.1,-.099,-9.8,-0.1
36,36,CHO,Cody Martin,Nevada,2,100,1752,445,319,181,.435,.252,.620,17.5,4.5,3.2,1.8,2.1,.056,-2.2,-0.1
37,37,DAL,Deividas Sirvydis,,1,20,133,41,29,5,.350,.357,.500,6.7,2.1,1.5,0.3,0.0,-.010,-5.6,-0.1
38,38,CHI,Daniel Gafford,Arkansas,2,97,1400,600,337,50,.691,,.619,14.4,6.2,3.5,0.5,5.3,.182,0.8,1.0
39,39,NOP,Alen Smailagić,,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.4,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.2,-0.2
41,41,GSW,Eric Paschall,Villanova,2,100,2349,1218,403,178,.497,.301,.755,23.5,12.2,4.0,1.8,3.0,.062,-2.9,-0.5
42,42,PHI,Admiral Schofield,Tennessee,1,33,368,99,47,15,.380,.311,.667,11.2,3.0,1.4,0.5,0.1,.017,-5.5,-0.3
43,43,MIN,Jaylen Nowell,Washington,2,57,910,436,108,81,.415,.301,.847,16.0,7.6,1.9,1.4,0.9,.045,-3.2,-0.3
44,44,MIA,Bol Bol,Oregon,2,39,247,109,43,13,.453,.394,.720,6.3,2.8,1.1,0.3,0.1,.020,-3.8,-0.1
45,45,DET,Isaiah Roby,Nebraska,2,64,1436,533,343,107,.481,.294,.744,22.4,8.3,5.4,1.7,1.2,.041,-3.6,-0.6
46,46,ORL,Talen Horton-Tucker,Iowa State,2,71,1385,619,176,187,.459,.285,.767,19.5,8.7,2.5,2.6,2.2,.077,-1.2,0.3
47,47,SAC,Ignas Brazdeikis,Michigan,2,22,302,108,50,21,.390,.324,.737,13.7,4.9,2.3,1.0,0.0,-.006,-6.2,-0.3
48,48,LAC,Terance Mann,Florida State,2,108,1625,571,297,157,.501,.405,.793,15.0,5.3,2.8,1.5,4.5,.133,-0.4,0.6
49,49,SAS,Quinndary Weatherspoon,Mississippi State,2,31,199,58,18,19,.404,.182,.778,6.4,1.9,0.6,0.6,-0.1,-.014,-6.0,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,.438,.366,.750,6.3,2.4,1.3,0.7,0.5,.099,-0.6,0.1
51,51,BOS,Tremont Waters,LSU,2,37,357,139,33,78,.361,.306,.960,9.6,3.8,0.9,2.1,0.1,.019,-2.3,0.0
52,52,CHO,Jalen McDaniels,San Diego State,2,63,1197,435,234,66,.469,.341,.728,19.0,6.9,3.7,1.0,1.6,.066,-3.3,-0.4
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,55,NYK,Kyle Guy,Virginia,2,34,245,91,36,33,.333,.265,.800,7.2,2.7,1.1,1.0,-0.1,-.016,-6.6,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,2,64,628,140,101,32,.359,.346,.818,9.8,2.2,1.6,0.5,1.0,.078,-2.5,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
