Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
21,21,DAL,Justin Anderson,Virginia,5,226,2964,1182,575,151,.413,.296,.774,13.1,5.2,2.5,0.7,4.6,.074,-1.4,0.5
22,22,CHI,Bobby Portis,Arkansas,6,381,7809,3969,2338,451,.468,.380,.752,20.5,10.4,6.1,1.2,15.6,.096,-0.8,2.3
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,6,382,6828,2175,623,1367,.431,.340,.818,17.9,5.7,1.6,3.6,14.2,.100,0.0,3.5
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,6,350,8487,2889,2329,666,.529,.333,.687,24.2,8.3,6.7,1.9,22.2,.125,1.2,6.8
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,6,285,4282,1230,1154,333,.566,.175,.609,15.0,4.3,4.0,1.2,13.7,.153,-0.8,1.3
31,31,MIN,Cedi Osman,,4,261,6536,2560,909,564,.420,.347,.736,25.0,9.8,3.5,2.2,4.4,.032,-2.9,-1.5
32,32,HOU,Montrezl Harrell,Louisville,6,387,8223,4968,1998,497,.616,.083,.650,21.2,12.8,5.2,1.3,33.4,.195,2.6,9.6
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6
35,35,PHI,Willy Hernangómez,,5,256,3852,1809,1464,268,.537,.306,.683,15.0,7.1,5.7,1.0,11.5,.143,0.1,2.0
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,6,331,6849,3137,1850,355,.597,.252,.741,20.7,9.5,5.6,1.1,23.4,.164,0.5,4.3
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,6,373,11432,4604,1192,1057,.427,.358,.832,30.6,12.3,3.2,2.8,20.3,.085,-0.6,4.1
41,41,BRK,Pat Connaughton,Notre Dame,6,352,6026,1824,1119,439,.441,.353,.787,17.1,5.2,3.2,1.2,13.7,.109,-0.4,2.4
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,6,376,7965,3923,943,529,.463,.377,.837,21.2,10.4,2.5,1.4,16.7,.101,-0.2,3.6
47,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0
57,57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,
