Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,6,408,13996,9352,4738,1217,.527,.394,.835,33.8,24.8,10.6,4.5,55.8,.191,4.8,23.8
2,2,LAL,D'Angelo Russell,Ohio State,6,359,10400,6328,1287,1910,.421,.360,.771,28.5,19.0,2.6,5.8,10.0,.046,0.4,6.4
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,.542,.222,.676,12.9,5.4,2.4,0.5,7.2,.071,-2.1,-0.1
4,4,NYK,Kristaps Porziņģis,,5,286,8905,5341,2238,418,.441,.361,.809,30.9,20.1,8.9,1.6,21.5,.116,1.3,7.4
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,16.4,4.8,3.5,0.9,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,6,402,9093,3641,2430,588,.545,.167,.612,17.1,5.3,4.5,0.7,23.1,.122,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,5,300,7176,3296,884,1139,.401,.323,.744,15.7,7.3,2.1,2.1,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,6,371,7316,2312,1154,532,.375,.298,.761,16.5,4.4,2.5,1.5,4.4,.029,-2.8,-1.5
9,9,CHO,Frank Kaminsky,Wisconsin,6,368,7744,3446,1486,606,.427,.348,.739,15.2,6.6,4.0,1.7,14.4,.089,-0.5,3.0
10,10,MIA,Justise Winslow,Duke,6,267,7355,2359,1413,707,.411,.324,.640,19.5,6.8,4.5,1.9,7.0,.046,-2.1,-0.2
11,11,IND,Myles Turner,Texas,6,389,11144,4945,2582,469,.487,.352,.770,31.0,12.6,6.5,1.0,29.7,.128,0.5,7.1
12,12,UTA,Trey Lyles,Kentucky,6,374,6680,2717,1574,389,.435,.341,.705,15.6,5.0,3.7,0.6,10.9,.079,-1.2,1.3
13,13,PHO,Devin Booker,Kentucky,6,409,13727,9395,1523,1899,.455,.352,.870,33.9,25.6,4.2,4.3,22.3,.078,-0.1,6.4
14,14,OKC,Cameron Payne,Murray State,6,221,3716,1506,449,623,.426,.372,.822,18.0,8.4,2.4,3.6,6.3,.081,-0.7,1.3
15,15,ATL,Kelly Oubre Jr.,Kansas,6,403,10062,4632,1772,400,.433,.326,.764,30.7,15.4,6.0,1.3,14.3,.068,-1.9,0.2
16,16,BOS,Terry Rozier,Louisville,6,404,9980,4631,1551,1183,.410,.376,.814,24.7,11.5,3.8,2.9,18.1,.087,0.3,5.8
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,4,200,3096,1094,607,160,.478,.288,.606,15.5,5.5,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,6,334,7125,2610,1098,1058,.453,.350,.792,21.3,7.8,3.3,3.2,19.2,.129,2.1,7.3
