Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,NOH,Anthony Davis,Kentucky,C,32.0,14.2,10.4,1.3
2,CHA,Michael Kidd-Gilchrist,Kentucky,F,31.1,11.9,7.4,1.9
3,WAS,Bradley Beal,Florida,G,34.2,14.8,6.7,2.2
4,CLE,Dion Waiters,Syracuse,G,24.1,12.6,2.3,2.5
5,SAC,Thomas Robinson,Kansas,F,31.8,17.7,11.9,1.8
6,POR,Damian Lillard,Weber,G,34.5,24.5,5.0,4.0
7,GSW,Harrison Barnes,UNC,F,29.2,17.1,5.2,1.1
8,TOR,Terrence Ross,Washington,G,31.1,16.4,6.4,1.4
9,DET,Andre Drummond,Connecticut,C,28.4,10.0,7.6,0.4
10,NOH,Austin Rivers,Duke,G,33.2,15.5,3.4,2.1
11,POR,Meyers Leonard,Illinois,C,31.8,13.6,8.2,1.3
12,HOU,Jeremy Lamb,Connecticut,G,37.2,17.7,4.9,1.7
13,PHO,Kendall Marshall,UNC,G,33.0,8.1,2.6,9.8
14,MIL,John Henson,UNC,C,29.1,13.7,9.9,1.3
