Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,1,72,2314,1392,336,211,.417,.329,.776,32.1,19.3,4.7,2.9,0.8,.017,-2.6,-0.3
2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,.519,.316,.628,21.4,11.5,5.8,0.7,0.7,.042,-5.4,-0.7
3,3,CHO,LaMelo Ball,,1,51,1469,803,302,313,.436,.352,.758,28.8,15.7,5.9,6.1,2.8,.093,1.9,1.4
4,4,CHI,Patrick Williams,Florida State,1,71,1983,655,327,99,.483,.391,.728,27.9,9.2,4.6,1.4,2.5,.060,-2.7,-0.3
5,5,CLE,Isaac Okoro,Auburn,1,67,2173,646,206,128,.420,.290,.726,32.4,9.6,3.1,1.9,0.9,.020,-5.0,-1.6
6,6,ATL,Onyeka Okongwu,USC,1,50,601,228,163,18,.644,.000,.632,12.0,4.6,3.3,0.4,1.9,.155,-1.3,0.1
7,7,DET,Killian Hayes,,1,26,670,176,69,138,.353,.278,.824,25.8,6.8,2.7,5.3,-1.1,-.081,-7.3,-0.9
8,8,NYK,Obi Toppin,Dayton,1,62,683,253,138,29,.498,.306,.731,11.0,4.1,2.2,0.5,1.5,.109,-1.0,0.2
9,9,WAS,Deni Avdija,,1,54,1257,342,262,63,.417,.315,.644,23.3,6.3,4.9,1.2,1.2,.046,-3.9,-0.6
10,10,PHO,Jalen Smith,Maryland,1,27,156,53,37,4,.440,.235,.714,5.8,2.0,1.4,0.1,0.1,.022,-6.2,-0.2
11,11,SAS,Devin Vassell,Florida State,1,62,1056,341,174,56,.406,.347,.843,17.0,5.5,2.8,0.9,1.5,.069,-1.9,0.1
12,12,SAC,Tyrese Haliburton,Iowa State,1,58,1746,753,173,309,.472,.409,.857,30.1,13.0,3.0,5.3,3.5,.096,1.1,1.4
13,13,NOP,Kira Lewis Jr.,Alabama,1,54,904,343,71,124,.386,.333,.843,16.7,6.4,1.3,2.3,0.9,.045,-3.8,-0.4
14,14,BOS,Aaron Nesmith,Vanderbilt,1,46,669,218,127,23,.438,.370,.786,14.5,4.7,2.8,0.5,1.1,.076,-3.2,-0.2
15,15,ORL,Cole Anthony,UNC,1,47,1273,605,221,192,.397,.337,.832,27.1,12.9,4.7,4.1,0.0,-.001,-3.3,-0.4
16,16,POR,Isaiah Stewart,Washington,1,68,1455,537,453,59,.553,.333,.696,21.4,7.9,6.7,0.9,4.0,.132,-1.2,0.3
17,17,MIN,Aleksej Pokusevski,,1,45,1090,367,212,97,.341,.280,.738,24.2,8.2,4.7,2.2,-1.9,-.084,-5.9,-1.1
18,18,DAL,Josh Green,Arizona,1,39,445,101,78,28,.452,.160,.565,11.4,2.6,2.0,0.7,0.5,.050,-3.7,-0.2
19,19,BRK,Saddiq Bey,Villanova,1,70,1909,857,318,95,.404,.380,.844,27.3,12.2,4.5,1.4,3.3,.082,-0.8,0.6
20,20,MIA,Precious Achiuwa,Memphis,1,61,737,304,208,29,.544,.000,.509,12.1,5.0,3.4,0.5,1.3,.085,-4.5,-0.5
21,21,PHI,Tyrese Maxey,Kentucky,1,61,935,488,104,120,.462,.301,.871,15.3,8.0,1.7,2.0,1.9,.099,-1.9,0.0
22,22,DEN,Zeke Nnaji,Arizona,1,42,397,136,65,10,.481,.407,.800,9.5,3.2,1.5,0.2,0.9,.104,-2.1,0.0
23,23,NYK,Leandro Bolmaro,,,,,,,,,,,,,,,,,,
24,24,MIL,R.J. Hampton,,1,51,888,354,179,87,.435,.310,.671,17.4,6.9,3.5,1.7,0.4,.021,-3.8,-0.4
25,25,OKC,Immanuel Quickley,Kentucky,1,64,1243,731,137,127,.395,.389,.891,19.4,11.4,2.1,2.0,3.2,.125,0.6,0.8
26,26,BOS,Payton Pritchard,Oregon,1,66,1268,510,158,120,.440,.411,.889,19.2,7.7,2.4,1.8,2.5,.095,-1.1,0.3
27,27,UTA,Udoka Azubuike,Kansas,1,15,57,16,13,0,.444,,.800,3.8,1.1,0.9,0.0,0.1,.119,-4.9,0.0
28,28,LAL,Jaden McDaniels,Washington,1,63,1511,427,232,71,.447,.364,.600,24.0,6.8,3.7,1.1,1.4,.046,-3.8,-0.7
29,29,TOR,Malachi Flynn,San Diego State,1,47,928,353,116,137,.374,.321,.804,19.7,7.5,2.5,2.9,0.8,.041,-2.8,-0.2
30,30,BOS,Desmond Bane,TCU,1,68,1519,625,210,118,.469,.432,.816,22.3,9.2,3.1,1.7,2.9,.093,-1.0,0.4
31,31,DAL,Tyrell Terry,Stanford,1,11,56,11,6,6,.313,.000,.333,5.1,1.0,0.5,0.5,-0.1,-.049,-5.5,-0.1
32,32,CHO,Vernon Carey Jr.,Duke,1,19,115,46,27,2,.500,.143,.818,6.1,2.4,1.4,0.1,0.2,.066,-6.2,-0.1
33,33,MIN,Daniel Oturu,Minnesota,1,30,161,54,48,10,.423,.200,.750,5.4,1.8,1.6,0.3,0.3,.081,-5.6,-0.1
34,34,PHI,Théo Maledon,,1,65,1778,658,211,227,.368,.335,.748,27.4,10.1,3.2,3.5,-0.8,-.021,-5.2,-1.4
35,35,SAC,Xavier Tillman Sr.,Michigan State,1,59,1085,390,256,75,.559,.338,.642,18.4,6.6,4.3,1.3,2.9,.127,-0.4,0.4
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.6,-0.1
37,37,WAS,Vit Krejci,,,,,,,,,,,,,,,,,,
38,38,UTA,Saben Lee,Vanderbilt,1,48,781,267,97,174,.471,.348,.685,16.3,5.6,2.0,3.6,1.5,.091,-1.9,0.0
39,39,NOP,Elijah Hughes,Syracuse,1,18,64,31,9,6,.333,.348,.750,3.6,1.7,0.5,0.3,0.0,-.013,-3.7,0.0
40,40,MEM,Robert Woodard,Mississippi State,1,13,45,20,16,2,.400,.167,.375,3.5,1.5,1.2,0.2,0.0,-.011,-5.4,0.0
41,41,SAS,Tre Jones,Duke,1,37,269,94,21,39,.474,.600,.895,7.3,2.5,0.6,1.1,0.4,.066,-3.4,-0.1
42,42,NOP,Nick Richards,Kentucky,1,18,63,15,11,2,.444,.000,.636,3.5,0.8,0.6,0.1,0.0,.026,-8.7,-0.1
43,43,SAC,Jahmi'us Ramsey,Texas Tech,1,13,94,40,10,6,.395,.263,1.000,7.2,3.1,0.8,0.5,0.0,.012,-4.7,-0.1
44,44,CHI,Marko Simonovic,,,,,,,,,,,,,,,,,,
45,45,MIL,Jordan Nwora,Louisville,1,30,274,171,60,7,.459,.452,.760,9.1,5.7,2.0,0.2,0.4,.068,-1.3,0.0
46,46,POR,CJ Elleby,Washington State,1,30,192,68,32,10,.379,.206,.733,6.4,2.3,1.1,0.3,0.1,.032,-5.6,-0.2
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,.342,.367,.821,12.1,4.1,1.5,2.3,0.2,.029,-4.1,-0.2
49,49,PHI,Isaiah Joe,Arkansas,1,41,383,153,36,20,.361,.368,.750,9.3,3.7,0.9,0.5,0.6,.078,-3.5,-0.1
50,50,ATL,Skylar Mays,LSU,1,33,269,124,35,30,.449,.350,.880,8.2,3.8,1.1,0.9,0.8,.140,1.6,0.2
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,Kenyon Martin Jr.,,1,45,1068,419,242,48,.509,.365,.714,23.7,9.3,5.4,1.1,2.2,.099,-1.8,0.0
53,53,OKC,Cassius Winston,Michigan State,1,22,98,41,9,12,.424,.471,.833,4.5,1.9,0.4,0.5,0.1,.066,-3.0,0.0
54,54,IND,Cassius Stanley,Duke,1,24,93,36,20,1,.302,.231,.778,3.9,1.5,0.8,0.0,-0.1,-.050,-11.2,-0.2
55,55,BRK,Jay Scrubb,John A. Logan College,1,4,84,35,14,1,.389,.222,1.000,21.0,8.8,3.5,0.3,-0.1,-.072,-10.9,-0.2
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,.667,.500,,3.9,2.6,0.1,0.4,0.1,.177,5.4,0.1
57,57,LAC,Reggie Perry,Mississippi State,1,26,211,78,73,14,.410,.190,.769,8.1,3.0,2.8,0.5,0.2,.040,-6.7,-0.2
58,58,PHI,Paul Reed,DePaul,1,26,177,88,61,12,.538,.000,.500,6.8,3.4,2.3,0.5,0.6,.162,-0.9,0.0
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,.500,.472,.778,13.2,7.4,1.4,1.3,0.3,.079,0.6,0.1
60,60,NOP,Sam Merrill,Utah State University,1,30,233,89,30,21,.444,.447,1.000,7.8,3.0,1.0,0.7,0.5,.102,-1.4,0.0
